FID,Shape *,OBJECTID,Path,Name,DateTime,Direction,Ket,Kelas,X,Y,RASTERVALU
0,Point ZM,1,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902023414.jpg,20250902023414.jpg, ,-9999,Banjir,1,120.250103,-5.528592,0.581868
1,Point ZM,2,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902023444.jpg,20250902023444.jpg, ,-9999,Banjir,1,120.250089,-5.528586,0.581868
2,Point ZM,3,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902023528.jpg,20250902023528.jpg, ,-9999,Banjir,1,120.250089,-5.528589,0.581868
3,Point ZM,4,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902032252.jpg,20250902032252.jpg, ,-9999,Banjir,1,120.324575,-5.482461,0.623543
4,Point ZM,5,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902032305.jpg,20250902032305.jpg, ,-9999,Banjir,1,120.324556,-5.482456,0.623543
5,Point ZM,6,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902061550.jpg,20250902061550.jpg, ,-9999,Tidak Banjir,0,120.431047,-5.523719,-9999
6,Point ZM,7,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902064343.jpg,20250902064343.jpg, ,-9999,Tidak Banjir,0,120.443231,-5.488067,-9999
7,Point ZM,8,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902064357.jpg,20250902064357.jpg, ,-9999,Tidak Banjir,0,120.443203,-5.48805,-9999
8,Point ZM,9,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902070333.jpg,20250902070333.jpg, ,-9999,Tidak Banjir,0,120.424781,-5.470475,-9999
9,Point ZM,10,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902070347.jpg,20250902070347.jpg, ,-9999,Tidak Banjir,0,120.424789,-5.470456,-9999
10,Point ZM,11,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902074005.jpg,20250902074005.jpg, ,-9999,Tidak Banjir,0,120.363164,-5.4162,0.74842
11,Point ZM,12,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902080952.jpg,20250902080952.jpg, ,-9999,Tidak Banjir,0,120.394256,-5.395569,-9999
12,Point ZM,13,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902081207.jpg,20250902081207.jpg, ,-9999,Tidak Banjir,0,120.394139,-5.395089,-9999
13,Point ZM,14,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902081235.jpg,20250902081235.jpg, ,-9999,Tidak Banjir,0,120.394111,-5.395097,-9999
14,Point ZM,15,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902081402.jpg,20250902081402.jpg, ,-9999,Tidak Banjir,0,120.394156,-5.394919,-9999
15,Point ZM,16,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902081517.jpg,20250902081517.jpg, ,-9999,Tidak Banjir,0,120.394269,-5.394764,-9999
16,Point ZM,17,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902082157.jpg,20250902082157.jpg, ,-9999,Tidak Banjir,0,120.393381,-5.391094,-9999
17,Point ZM,18,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902082302.jpg,20250902082302.jpg, ,-9999,Tidak Banjir,0,120.393569,-5.391097,-9999
18,Point ZM,19,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902084104.jpg,20250902084104.jpg, ,-9999,Tidak Banjir,0,120.378294,-5.353464,-9999
19,Point ZM,20,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902084136.jpg,20250902084136.jpg, ,-9999,Tidak Banjir,0,120.378356,-5.353506,-9999
20,Point ZM,21,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902084215.jpg,20250902084215.jpg, ,-9999,Tidak Banjir,0,120.378406,-5.353589,-9999
21,Point ZM,22,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902090302.jpg,20250902090302.jpg, ,-9999,Tidak Banjir,0,120.3863,-5.348981,-9999
22,Point ZM,23,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902090935.jpg,20250902090935.jpg, ,-9999,Tidak Banjir,0,120.387156,-5.346094,-9999
23,Point ZM,24,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902091053.jpg,20250902091053.jpg, ,-9999,Tidak Banjir,0,120.387269,-5.346089,-9999
24,Point ZM,25,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902091310.jpg,20250902091310.jpg, ,-9999,Tidak Banjir,0,120.387278,-5.346003,-9999
25,Point ZM,26,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902091342.jpg,20250902091342.jpg, ,-9999,Tidak Banjir,0,120.387211,-5.346111,-9999
26,Point ZM,27,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902092111.jpg,20250902092111.jpg, ,-9999,Tidak Banjir,0,120.382522,-5.357036,-9999
27,Point ZM,28,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902092144.jpg,20250902092144.jpg, ,-9999,Tidak Banjir,0,120.382522,-5.357053,-9999
28,Point ZM,29,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902093057.jpg,20250902093057.jpg, ,-9999,Tidak Banjir,0,120.359631,-5.334136,0.394281
29,Point ZM,30,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902093118.jpg,20250902093118.jpg, ,-9999,Tidak Banjir,0,120.359628,-5.334167,0.394281
30,Point ZM,31,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250902093203.jpg,20250902093203.jpg, ,-9999,Tidak Banjir,0,120.359617,-5.334169,0.394281
31,Point ZM,32,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903024849.jpg,20250903024849.jpg, ,-9999,Tidak Banjir,0,120.027544,-5.370453,-9999
32,Point ZM,33,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903025020.jpg,20250903025020.jpg, ,-9999,Tidak Banjir,0,120.027344,-5.370639,-9999
33,Point ZM,34,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903025706.jpg,20250903025706.jpg, ,-9999,Tidak Banjir,0,120.027511,-5.370294,-9999
34,Point ZM,35,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903025723.jpg,20250903025723.jpg, ,-9999,Tidak Banjir,0,120.027461,-5.370292,-9999
35,Point ZM,36,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903030432.jpg,20250903030432.jpg, ,-9999,Tidak Banjir,0,120.027311,-5.370536,-9999
36,Point ZM,37,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903030854.jpg,20250903030854.jpg, ,-9999,Tidak Banjir,0,120.027178,-5.370097,-9999
37,Point ZM,38,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903032601.jpg,20250903032601.jpg, ,-9999,Tidak Banjir,0,120.030736,-5.346161,-9999
38,Point ZM,39,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903032650.jpg,20250903032650.jpg, ,-9999,Tidak Banjir,0,120.030756,-5.346186,-9999
39,Point ZM,40,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903033158.jpg,20250903033158.jpg, ,-9999,Tidak Banjir,0,120.026667,-5.344453,-9999
40,Point ZM,41,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903033228.jpg,20250903033228.jpg, ,-9999,Tidak Banjir,0,120.026736,-5.344467,-9999
41,Point ZM,42,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903033615.jpg,20250903033615.jpg, ,-9999,Tidak Banjir,0,120.026483,-5.342403,-9999
42,Point ZM,43,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903033655.jpg,20250903033655.jpg, ,-9999,Tidak Banjir,0,120.026586,-5.342461,-9999
43,Point ZM,44,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903033717.jpg,20250903033717.jpg, ,-9999,Tidak Banjir,0,120.026653,-5.342431,-9999
44,Point ZM,45,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903034453.jpg,20250903034453.jpg, ,-9999,Tidak Banjir,0,120.018053,-5.341411,-9999
45,Point ZM,46,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903034522.jpg,20250903034522.jpg, ,-9999,Tidak Banjir,0,120.018153,-5.341406,-9999
46,Point ZM,47,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903034844.jpg,20250903034844.jpg, ,-9999,Tidak Banjir,0,120.018567,-5.341506,-9999
47,Point ZM,48,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903034924.jpg,20250903034924.jpg, ,-9999,Tidak Banjir,0,120.015178,-5.340194,-9999
